Anonymized_Employee_ID	label	Product_S	Product_B	Product_C	total_sold	length(days)	days_with_sales(percen)	sales_per_day	unique_customers	unique_customers(percen)
FR_XYZ_S1011_AL	0	0.34	0.33	0.33	3926	605	0.46	14.22	356	0.2658700522778193
FR_XYZ_S1012_AL	0	0.35	0.31	0.34	4387	606	0.48	15.02	352	0.227831715210356
FR_XYZ_S1012_QZ	0	0.33	0.33	0.33	4943	606	0.5	16.31	302	0.18314129775621588
FR_XYZ_S1013_AL	0	0.35	0.32	0.33	4045	606	0.46	14.55	368	0.25662482566248257
FR_XYZ_S1013_QZ	0	0.34	0.33	0.33	4121	603	0.46	14.77	336	0.2376237623762376
FR_XYZ_S1014_AL	0	0.34	0.33	0.34	3840	606	0.49	13.02	329	0.25405405405405407
FR_XYZ_S1014_QZ	0	0.35	0.34	0.31	3220	603	0.41	12.88	295	0.2594547053649956
FR_XYZ_S1021_AL	0	0.34	0.33	0.33	4139	605	0.48	14.22	262	0.18607954545454544
FR_XYZ_S1021_QZ	2	0.57	0.11	0.32	1716	575	0.4	7.49	245	0.2510245901639344
FR_XYZ_S1022_AL	0	0.36	0.31	0.33	3233	582	0.47	11.89	296	0.2553925798101812
FR_XYZ_S1022_QZ	0	0.34	0.33	0.33	3439	585	0.42	14.09	216	0.18652849740932642
FR_XYZ_S1023_AL	0	0.33	0.33	0.33	4714	604	0.52	15.01	241	0.15321042593769865
FR_XYZ_S1023_QZ	2	0.4	0.29	0.3	1039	558	0.19	9.9	163	0.38995215311004783
FR_XYZ_S1031_QZ	0	0.34	0.32	0.34	3562	604	0.43	13.7	195	0.15944399018806213
FR_XYZ_S1032_AL	0	0.34	0.33	0.33	2167	585	0.33	11.11	192	0.2612244897959184
FR_XYZ_S1032_QZ	0	0.34	0.33	0.33	3436	596	0.41	14.14	240	0.2077922077922078
FR_XYZ_S1033_AL	0	0.36	0.31	0.33	3617	605	0.5	11.94	332	0.25499231950844853
FR_XYZ_S1033_QZ	0	0.36	0.32	0.32	4089	592	0.52	13.28	313	0.21177266576454667
FR_XYZ_S1034_QZ	0	0.34	0.33	0.33	3963	596	0.47	14.1	326	0.23847841989758595
FR_XYZ_S1041_AL	0	0.33	0.33	0.33	4679	609	0.49	15.65	310	0.19808306709265175
FR_XYZ_S1042_AL	0	0.33	0.33	0.33	4852	609	0.51	15.65	270	0.16646115906288533
FR_XYZ_S1042_QZ	2	0.33	0.33	0.33	759	567	0.14	9.61	73	0.2874015748031496
FR_XYZ_S1043_AL	0	0.33	0.33	0.33	4959	605	0.51	16.15	350	0.2113526570048309
FR_XYZ_S1043_QZ	0	0.33	0.33	0.33	3912	585	0.42	16.1	201	0.15414110429447853
FR_XYZ_S1044_AL	0	0.33	0.33	0.33	4131	599	0.47	14.81	337	0.24367317425885757
FR_XYZ_S1044_QZ	0	0.36	0.32	0.33	4315	602	0.49	14.58	253	0.16492829204693613
FR_XYZ_S1051_AL	0	0.34	0.33	0.33	4449	609	0.51	14.35	422	0.27527723418134376
FR_XYZ_S1051_QZ	2	0.34	0.33	0.34	3027	609	0.31	15.93	367	0.3612204724409449
FR_XYZ_S1052_AL	0	0.37	0.31	0.32	3794	606	0.46	13.55	338	0.24369142033165103
FR_XYZ_S1052_QZ	0	0.36	0.32	0.32	4140	609	0.5	13.66	311	0.20774883099532399
FR_XYZ_S1053_AL	0	0.34	0.33	0.33	4852	606	0.5	16.07	342	0.20614828209764918
FR_XYZ_S1053_QZ	0	0.4	0.3	0.3	3283	600	0.44	12.48	344	0.2608036391205459
FR_XYZ_S1054_AL	0	0.33	0.33	0.33	4733	605	0.48	16.15	438	0.2772151898734177
FR_XYZ_S1054_QZ	0	0.35	0.32	0.33	3720	606	0.44	14.09	321	0.24922360248447206
FR_XYZ_S1061_AL	0	0.34	0.32	0.34	4450	606	0.5	14.69	269	0.1781456953642384
FR_XYZ_S1061_QZ	0	0.37	0.3	0.33	4512	606	0.49	15.09	225	0.13392857142857142
FR_XYZ_S1062_AL	0	0.38	0.28	0.33	2616	606	0.43	10.1	212	0.21157684630738524
FR_XYZ_S1062_QZ	0	0.37	0.32	0.32	3715	599	0.46	13.56	265	0.1945668135095448
FR_XYZ_S1063_AL	0	0.33	0.33	0.33	2828	525	0.41	13.15	281	0.2979851537645811
FR_XYZ_S1063_QZ	0	0.36	0.32	0.32	3486	600	0.41	14.35	303	0.23858267716535433
FR_XYZ_S1064_AL	0	0.38	0.32	0.31	2577	606	0.34	12.51	315	0.32507739938080493
FR_XYZ_S1064_QZ	2	0.38	0.31	0.31	2200	432	0.43	11.76	214	0.2562874251497006
FR_XYZ_S1071_AL	0	0.44	0.27	0.28	3086	585	0.48	11.1	277	0.20174799708667152
FR_XYZ_S1071_QZ	0	0.45	0.21	0.34	3669	606	0.5	12.19	297	0.18
FR_XYZ_S1072_AL	0	0.33	0.33	0.33	4783	606	0.51	15.58	317	0.19862155388471178
FR_XYZ_S1072_QZ	2	0.35	0.32	0.33	2067	605	0.23	14.76	299	0.4095890410958904
FR_XYZ_S1072_QZ2	1	0.39	0.3	0.3	861	133	0.62	10.5	218	0.6430678466076696
FR_XYZ_S1073_AL	0	0.4	0.3	0.3	3723	609	0.49	12.45	308	0.20754716981132076
FR_XYZ_S1073_QZ	0	0.34	0.33	0.33	4582	606	0.51	14.88	288	0.18508997429305912
FR_XYZ_S1074_AL	0	0.34	0.33	0.33	4469	606	0.5	14.9	321	0.21160184574818722
FR_XYZ_S1081_AL	0	0.34	0.33	0.33	5021	609	0.51	16.3	315	0.1857311320754717
FR_XYZ_S1081_QZ	0	0.33	0.33	0.33	5179	606	0.51	16.65	238	0.13733410271206
FR_XYZ_S1082_AL	0	0.38	0.3	0.32	4426	609	0.5	14.61	452	0.26635238656452564
FR_XYZ_S1082_QZ	0	0.42	0.29	0.29	3738	602	0.5	12.34	325	0.2086007702182285
FR_XYZ_S1083_AL	0	0.34	0.33	0.33	2465	604	0.32	12.77	256	0.30260047281323876
FR_XYZ_S1083_QZ	0	0.34	0.33	0.33	3408	517	0.43	15.49	253	0.2182916307161346
FR_XYZ_S1084_AL	0	0.33	0.33	0.33	4463	592	0.51	14.83	297	0.19919517102615694
FR_XYZ_S1084_QZ	0	0.37	0.31	0.31	2842	609	0.4	11.6	320	0.30274361400189215
FR_XYZ_S1091_AL	0	0.33	0.33	0.33	3598	599	0.42	14.45	312	0.26
FR_XYZ_S1091_QZ	0	0.37	0.31	0.31	2862	599	0.33	14.53	283	0.2642390289449113
FR_XYZ_S1092_AL	0	0.42	0.29	0.29	2825	596	0.48	9.81	332	0.28064243448858833
FR_XYZ_S1092_QZ	0	0.43	0.28	0.29	2963	585	0.44	11.53	234	0.1833855799373041
FR_XYZ_S1093_AL	0	0.33	0.33	0.33	3673	591	0.44	14.18	247	0.20146818923327894
FR_XYZ_S1093_QZ	0	0.34	0.33	0.33	4189	609	0.49	14.1	244	0.1737891737891738
FR_XYZ_S1094_AL	0	0.37	0.31	0.32	3378	606	0.46	12.15	296	0.2358565737051793
FR_XYZ_S1094_QZ	0	0.39	0.31	0.31	3308	606	0.47	11.53	331	0.2598116169544741
FR_XYZ_S1101_AL	0	0.34	0.33	0.33	4357	609	0.48	14.77	402	0.2716216216216216
FR_XYZ_S1101_QZ	0	0.34	0.33	0.33	4173	606	0.47	14.75	398	0.27735191637630663
FR_XYZ_S1102_AL	0	0.35	0.32	0.33	4277	605	0.5	14.07	372	0.25135135135135134
FR_XYZ_S1102_QZ	0	0.34	0.33	0.33	4154	609	0.48	14.32	339	0.23991507430997877
FR_XYZ_S1103_AL	0	0.35	0.32	0.33	3754	591	0.42	14.96	284	0.21762452107279692
FR_XYZ_S1103_QZ	0	0.33	0.33	0.33	4981	599	0.52	15.96	367	0.2205528846153846
FR_XYZ_S1104_AL	0	0.36	0.29	0.35	3046	609	0.46	10.8	285	0.25675675675675674
FR_XYZ_S1104_QZ	0	0.47	0.23	0.3	2245	606	0.38	9.85	243	0.2323135755258126
FR_XYZ_S2011_AL	0	0.35	0.3	0.35	3497	606	0.39	14.63	282	0.23020408163265307
FR_XYZ_S2011_QZ	0	0.33	0.33	0.33	4896	604	0.5	16.05	213	0.1301160659743433
FR_XYZ_S2012_AL	0	0.35	0.32	0.33	4600	606	0.5	15.08	314	0.19686520376175548
FR_XYZ_S2012_QZ	0	0.33	0.33	0.33	5008	606	0.49	16.75	305	0.18252543387193298
FR_XYZ_S2013_AL	0	0.34	0.32	0.34	3997	544	0.49	15.03	284	0.20714806710430342
FR_XYZ_S2013_QZ	0	0.34	0.33	0.33	4480	606	0.51	14.55	309	0.2034233048057933
FR_XYZ_S2014_AL	0	0.33	0.33	0.33	4985	592	0.52	16.08	302	0.18170878459687123
FR_XYZ_S2014_QZ	0	0.33	0.33	0.33	5284	606	0.51	16.99	301	0.17044167610419025
FR_XYZ_S2021_AL	0	0.33	0.33	0.33	4828	606	0.51	15.62	329	0.20434782608695654
FR_XYZ_S2021_QZ	0	0.34	0.33	0.33	4509	604	0.5	14.83	369	0.2405475880052151
FR_XYZ_S2022_AL	0	0.35	0.32	0.33	4091	605	0.47	14.51	231	0.16165150454863542
FR_XYZ_S2022_QZ	0	0.38	0.31	0.31	4286	606	0.49	14.33	286	0.17687074829931973
FR_XYZ_S2023_AL	0	0.34	0.33	0.33	4840	606	0.5	16.03	305	0.18780788177339902
FR_XYZ_S2023_QZ	0	0.33	0.33	0.33	4910	606	0.49	16.53	338	0.2064752596212584
FR_XYZ_S2024_AL	0	0.33	0.33	0.33	4131	606	0.48	14.24	286	0.20769789397240376
FR_XYZ_S2024_QZ	0	0.33	0.33	0.33	4341	609	0.5	14.23	324	0.2236024844720497
FR_XYZ_S2031_AL	0	0.34	0.33	0.33	3367	606	0.45	12.24	280	0.2445414847161572
FR_XYZ_S2031_QZ	0	0.34	0.34	0.32	4057	606	0.47	14.14	271	0.1976659372720642
FR_XYZ_S2032_AL	0	0.4	0.3	0.31	3443	609	0.45	12.57	248	0.18208516886930984
